observedAt,game,site,platform,reward,offerKey
2026-08-31T11:35:45Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-08-31T11:35:45Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-08-31T11:35:45Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-08-31T11:35:45Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-08-31T11:35:45Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-08-31T11:35:45Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-08-31T11:35:45Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-08-31T11:35:45Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-08-31T11:35:45Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-08-31T11:35:45Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-01T00:40:49Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-09-01T00:40:49Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-09-01T00:40:49Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-09-01T00:40:49Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-09-01T00:40:49Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-09-01T00:40:49Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-01T00:40:49Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-01T00:40:49Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-01T00:40:49Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-01T00:40:49Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-01T00:40:49Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-01T02:36:27Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-09-01T02:36:27Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-09-01T02:36:27Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-09-01T02:36:27Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-09-01T02:36:27Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-09-01T02:36:27Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-01T02:36:27Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-01T02:36:27Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-01T02:36:27Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-01T02:36:27Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-01T02:36:27Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-01T02:36:27Z,ホワイトアウト・サバイバル,moppy,Android,6119,ホワイトアウト・サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160375
2026-09-01T02:36:27Z,ホワイトアウト・サバイバル,warau,Android,11500,ホワイトアウト・サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=201872
2026-09-01T02:36:27Z,ホワイトアウト・サバイバル,warau,iOS,11500,ホワイトアウト・サバイバル|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=201862
2026-09-02T15:43:43Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-09-02T15:43:43Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-09-02T15:43:43Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-09-02T15:43:43Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-09-02T15:43:43Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-09-02T15:43:43Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-02T15:43:43Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-02T15:43:43Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-02T15:43:43Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-02T15:43:43Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-02T15:43:43Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-02T15:43:43Z,ホワイトアウト・サバイバル,moppy,Android,6119,ホワイトアウト・サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160375
2026-09-02T15:43:43Z,ホワイトアウト・サバイバル,warau,Android,11500,ホワイトアウト・サバイバル|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=201872
2026-09-02T15:43:43Z,ホワイトアウト・サバイバル,warau,iOS,11500,ホワイトアウト・サバイバル|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=201862
2026-09-02T15:43:43Z,メメントモリ,warau,Android,12050,メメントモリ|warau|Android|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=205975
2026-09-02T15:43:43Z,メメントモリ,warau,iOS,12050,メメントモリ|warau|iOS|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=206035
2026-09-02T15:43:43Z,ワーキングヒーロー,hapitas,Android,11502,ワーキングヒーロー|hapitas|Android|https://hapitas.jp/item/detail/itemid/101445
2026-09-02T15:43:43Z,ワーキングヒーロー,hapitas,iOS,11502,ワーキングヒーロー|hapitas|iOS|https://hapitas.jp/item/detail/itemid/101444
2026-09-03T08:19:44Z,Township,chobirich,Android,31817,Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712
2026-09-03T08:19:44Z,Township,coincome,Android,33125,Township|coincome|Android|https://cimcome.jp/campaigns/details/9857
2026-09-03T08:19:44Z,Township,coincome,iOS,30025,Township|coincome|iOS|https://cimcome.jp/campaigns/details/9856
2026-09-03T08:19:44Z,Township,warau,Android,21670,Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645
2026-09-03T08:19:44Z,Township,warau,iOS,16760,Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643
2026-09-03T08:19:44Z,きのこ伝説,chobirich,Android,3831,きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822
2026-09-03T08:19:44Z,きのこ伝説,chobirich,不明,17880,きのこ伝説|chobirich|不明|https://www.chobirich.com/ad_details/1896200
2026-09-03T08:19:44Z,きのこ伝説,coincome,Android,18820,きのこ伝説|coincome|Android|https://cimcome.jp/campaigns/details/10038
2026-09-03T08:19:44Z,きのこ伝説,coincome,iOS,22050,きのこ伝説|coincome|iOS|https://cimcome.jp/campaigns/details/10037
2026-09-03T08:19:44Z,きのこ伝説,warau,Android,18800,きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817
2026-09-03T08:19:44Z,きのこ伝説,warau,iOS,22000,きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816
2026-09-03T08:19:44Z,ホワイトアウト・サバイバル,moppy,Android,6119,ホワイトアウト・サバイバル|moppy|Android|https://pc.moppy.jp/ad/detail.php?site_id=160375
2026-09-03T08:19:44Z,ホワイトアウト・サバイバル,warau,Android,12500,ホワイトアウト・サバイバル|warau|Android|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=205389
2026-09-03T08:19:44Z,ホワイトアウト・サバイバル,warau,iOS,12500,ホワイトアウト・サバイバル|warau|iOS|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=205390
2026-09-03T08:19:44Z,メメントモリ,warau,Android,12050,メメントモリ|warau|Android|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=205975
2026-09-03T08:19:44Z,メメントモリ,warau,iOS,12050,メメントモリ|warau|iOS|https://ssl.warau.jp/contents/point/pointEntrance.php?pl=pc_categoryService&point_id=206035
2026-09-03T08:19:44Z,ワーキングヒーロー,hapitas,Android,11502,ワーキングヒーロー|hapitas|Android|https://hapitas.jp/item/detail/itemid/101445
2026-09-03T08:19:44Z,ワーキングヒーロー,hapitas,iOS,11502,ワーキングヒーロー|hapitas|iOS|https://hapitas.jp/item/detail/itemid/101444
